'*',    30,     1,     9,    16,     3,     3, 10890,     0
'SPENVIS 4.6.11.3477          -  3-Mar-2023 09:30:54'
'PRJ_DEF', -1,'GRID'
'PRJ_HDR', -1,' '
'MOD_ABB', -1,'TPP'
'GRD_TYP', 1, 2
'GRD_LBL', -1,'Grid type: world map at    500.0 km'
'GRD_VAR', -1,' '
'GRD_ALT', 1,    500.0,'km'
'GRD_NLO', 1, 121
'GRD_NLA', 1,  90
'PS Annotation',  6,  1
'Grid type: world map at    500.0 km'
 0.05, 2.00, 0.00
'Planet: Earth'
 0.10, 1.50, 0.00
'Universal time:  0.0 hr'
 0.10, 1.50, 0.00
'PS Annotation',  8,  0
'Trapped particle model: ESA-SEE1'
 0.05, 2.00, 0.00
'Internal magnetic field model: Jensen & Cain 1960 updated to 1996.8'
 0.10, 1.50, 0.00
'External magnetic field model: None'
 0.10, 1.50, 0.00
'Pitch angle:  90.0 deg'
 0.10, 1.50, 0.00
'B','Gauss', 1,'!8B!3'
'L','!8R!3!dE!n', 1,'!8L!3'
'Flux','cm!u-2!n s!u-1!n', 1,'ESA-SEE1 Flux >   0.10 MeV'
  4.7610E-01,  1.6111E+01,  0.0000E+00
  4.7602E-01,  1.6024E+01,  0.0000E+00
  4.7593E-01,  1.5931E+01,  0.0000E+00
  4.7583E-01,  1.5834E+01,  0.0000E+00
  4.7572E-01,  1.5736E+01,  0.0000E+00
  4.7559E-01,  1.5636E+01,  0.0000E+00
  4.7545E-01,  1.5534E+01,  0.0000E+00
  4.7531E-01,  1.5432E+01,  0.0000E+00
  4.7515E-01,  1.5330E+01,  0.0000E+00
  4.7499E-01,  1.5229E+01,  0.0000E+00
  4.7481E-01,  1.5127E+01,  0.0000E+00
  4.7463E-01,  1.5027E+01,  0.0000E+00
  4.7443E-01,  1.4927E+01,  0.0000E+00
  4.7423E-01,  1.4828E+01,  0.0000E+00
  4.7402E-01,  1.4731E+01,  0.0000E+00
  4.7381E-01,  1.4637E+01,  0.0000E+00
  4.7359E-01,  1.4543E+01,  0.0000E+00
  4.7336E-01,  1.4452E+01,  0.0000E+00
  4.7313E-01,  1.4363E+01,  0.0000E+00
  4.7289E-01,  1.4277E+01,  0.0000E+00
